timestamp, actor_id, actor_type, event_type, cell_x, cell_y, genes
1663162781, 28, player, created, 2, 4, { [ ( -0.20491385588829) ( -0.44585146733442) ( 0.12655836382418) ( 0.63427163089489) ( -0.076907573385688) ( 0.27615210589435)] [ ( -0.50989615574468 0.65416690639332 -0.060730802277305 -0.5297413654115 -0.86967394488195 -0.93684997081575) ( 0.041657331935764 0.084291188614459 -0.033381583887504 0.41142981346169 -0.46047824959782 -0.97006556803506) ( -0.63626253408513 -0.78778209970711 0.30678934291174 0.90254353030146 0.82577191058377 -0.94592236955151)] [ ( -0.77786674213692 -0.98044849123628 0.1418514060472)]}
1663162783, 28, player, destroyed, 19, 12, { [ ( -0.20491385588829) ( -0.44585146733442) ( 0.12655836382418) ( 0.63427163089489) ( -0.076907573385688) ( 0.27615210589435)] [ ( -0.50989615574468 0.65416690639332 -0.060730802277305 -0.5297413654115 -0.86967394488195 -0.93684997081575) ( 0.041657331935764 0.084291188614459 -0.033381583887504 0.41142981346169 -0.46047824959782 -0.97006556803506) ( -0.63626253408513 -0.78778209970711 0.30678934291174 0.90254353030146 0.82577191058377 -0.94592236955151)] [ ( -0.77786674213692 -0.98044849123628 0.1418514060472)]}
1663162783, 29, player, created, 19, 12, { [ ( 0.28369342915649) ( 0.59467146620355) ( -0.15886107665655) ( -0.89621008738316) ( 0.69572192609272) ( -0.50710593461836)] [ ( 0.19031387393925 0.070235979375953 0.20627340492301 -0.66222491857629 0.8135839653494 0.60071823847959) ( -0.63989039331341 0.4835778392473 -0.26239692711276 -0.10555925545288 -0.73766626494526 -0.6568465873827) ( -0.53720202662237 -0.66702452287121 0.27318133866647 0.99982823523045 -0.71580922321588 -0.25720220762353)] [ ( 0.82003959987982 -0.50142706296701 -0.1452519403451)]}
1663162783, 29, player, destroyed, 10, 12, { [ ( 0.28369342915649) ( 0.59467146620355) ( -0.15886107665655) ( -0.89621008738316) ( 0.69572192609272) ( -0.50710593461836)] [ ( 0.19031387393925 0.070235979375953 0.20627340492301 -0.66222491857629 0.8135839653494 0.60071823847959) ( -0.63989039331341 0.4835778392473 -0.26239692711276 -0.10555925545288 -0.73766626494526 -0.6568465873827) ( -0.53720202662237 -0.66702452287121 0.27318133866647 0.99982823523045 -0.71580922321588 -0.25720220762353)] [ ( 0.82003959987982 -0.50142706296701 -0.1452519403451)]}
1663162783, 30, player, created, 10, 12, { [ ( 0.18987036576751) ( 0.16471852062072) ( -0.54917659918507) ( -0.37292623312611) ( -0.72494012990632) ( -0.96105667389329)] [ ( 0.83984779423173 0.53214997713042 0.59130695524767 0.29787293206396 -0.50359695329475 -0.079442455442692) ( 0.72681959673821 0.03087855664114 0.2804688843433 0.8449801482698 -0.18318530090083 -0.46137865724379) ( -0.7040531752006 -0.8192332962112 -0.95237159991015 -0.61469698305691 -0.8990888909164 -0.4904585510107)] [ ( -0.46169660743622 0.34489396642141 -0.6910232601049)]}
1663162784, 30, player, destroyed, 10, 7, { [ ( 0.18987036576751) ( 0.16471852062072) ( -0.54917659918507) ( -0.37292623312611) ( -0.72494012990632) ( -0.96105667389329)] [ ( 0.83984779423173 0.53214997713042 0.59130695524767 0.29787293206396 -0.50359695329475 -0.079442455442692) ( 0.72681959673821 0.03087855664114 0.2804688843433 0.8449801482698 -0.18318530090083 -0.46137865724379) ( -0.7040531752006 -0.8192332962112 -0.95237159991015 -0.61469698305691 -0.8990888909164 -0.4904585510107)] [ ( -0.46169660743622 0.34489396642141 -0.6910232601049)]}
1663162784, 31, player, created, 10, 7, { [ ( -0.94065342399265) ( -0.86601294727835) ( -0.23274163590472) ( -0.24522745551705) ( 0.46396162840888) ( 0.41880156746112)] [ ( -0.0065015752261477 0.86571459749295 -0.33812100583984 0.2412846302727 -0.80347194434158 -0.76215538532009) ( -0.60580363247398 0.85183031766697 0.27403708600966 0.93364592687131 0.85650413873698 0.57662074127266) ( 0.89526022107668 0.69297605501395 0.51709817666899 0.99928387365852 0.57958827258099 -0.36746400723338)] [ ( -0.72835169951346 0.1590256524445 -0.39474720247021)]}
1663162786, 31, player, destroyed, 27, 9, { [ ( -0.94065342399265) ( -0.86601294727835) ( -0.23274163590472) ( -0.24522745551705) ( 0.46396162840888) ( 0.41880156746112)] [ ( -0.0065015752261477 0.86571459749295 -0.33812100583984 0.2412846302727 -0.80347194434158 -0.76215538532009) ( -0.60580363247398 0.85183031766697 0.27403708600966 0.93364592687131 0.85650413873698 0.57662074127266) ( 0.89526022107668 0.69297605501395 0.51709817666899 0.99928387365852 0.57958827258099 -0.36746400723338)] [ ( -0.72835169951346 0.1590256524445 -0.39474720247021)]}
1663162786, 32, player, created, 27, 9, { [ ( -0.66694536449176) ( -0.81692283395146) ( 0.55705215918376) ( -0.37744089204562) ( -0.93526466624395) ( -0.27820101167813)] [ ( 0.58723304175344 -0.21801647478087 -0.015922392312501 -0.86567988757115 -0.16483591604589 0.13487059538598) ( 0.83596648786367 0.66297144145121 0.046629278569449 -0.53288690469983 0.097253952993712 0.024333272815274) ( 0.53119146463794 -0.1628784474868 -0.91214874141731 0.51112278665819 0.9076838030085 -0.31205926203156)] [ ( -0.017806005313381 -0.65243167119225 -0.66506248611183)]}
1663162786, 32, player, destroyed, 13, 10, { [ ( -0.66694536449176) ( -0.81692283395146) ( 0.55705215918376) ( -0.37744089204562) ( -0.93526466624395) ( -0.27820101167813)] [ ( 0.58723304175344 -0.21801647478087 -0.015922392312501 -0.86567988757115 -0.16483591604589 0.13487059538598) ( 0.83596648786367 0.66297144145121 0.046629278569449 -0.53288690469983 0.097253952993712 0.024333272815274) ( 0.53119146463794 -0.1628784474868 -0.91214874141731 0.51112278665819 0.9076838030085 -0.31205926203156)] [ ( -0.017806005313381 -0.65243167119225 -0.66506248611183)]}
